"current_path","target_abs","result","note"
"D:\Work\Coding\Trading\EZ3.pine","d:\Work\Coding\Trading\indicators\key_level\archive\EZ3.pine","copied","ok"
"D:\Work\Coding\Trading\Ideas.pine","d:\Work\Coding\Trading\z_archive\notes\Ideas.pine","copied","ok"
"D:\Work\Coding\Trading\VPP4.pine","d:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_0.pine","copied","ok"
"D:\Work\Coding\Trading\VPP41.pine","d:\Work\Coding\Trading\indicators\volume_profile\archive\VPP_v4_1_copy.pine","copied","ok"
"D:\Work\Coding\Trading\VPP42.pine","d:\Work\Coding\Trading\indicators\volume_profile\VPP_v4_2_Final.pine","copied","ok"
"D:\Work\Coding\Trading\vsa-functions.pine","d:\Work\Coding\Trading\libraries\vsa-functions.pine","copied","ok"
"D:\Work\Coding\Trading\WSH Velo.pine","d:\Work\Coding\Trading\indicators\hybrid\wyckoff_smc\archive\WSH_Velo_v5_2_copy.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/cvd/C+V+D.pine","d:\Work\Coding\Trading\indicators\order_flow\archive\C+V+D_legacy.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/cvd/CVD Pro.pine","d:\Work\Coding\Trading\indicators\order_flow\CVD_Pro.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/cvd/Vol+CVD.pine","d:\Work\Coding\Trading\indicators\order_flow\archive\Vol+CVD_legacy.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/Eclaude.pine","d:\Work\Coding\Trading\indicators\key_level\KV_Zone_Advanced.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZ-01.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZ-01.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZ-02.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZ-02.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZ-01.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-01.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZ-02.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-02.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZ-03.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-03.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZ-04.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-04.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZ-05.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-05.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZ-06.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-06.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZ-07.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-07.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZ-08.pine","d:\Work\Coding\Trading\indicators\key_level\archive\ezz_series\EZZ-08.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZII.pine","d:\Work\Coding\Trading\indicators\key_level\archive\EZZII_Gemini_Flip_copy.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kv/EZZY.PINE","d:\Work\Coding\Trading\indicators\key_level\EZZ_Gemini_Flip.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/kvs/KVS 30.pine","d:\Work\Coding\Trading\indicators\key_level\archive\KVS_30.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/Leviathan.pine","d:\Work\Coding\Trading\indicators\composite\Leviathan.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-01.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-01.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-02.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-02.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-06.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-06.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-07.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-07.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-08.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-08.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-09.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-09.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-10.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-10.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-11.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-11.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-12.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-12.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-13.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-13.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-14.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-14.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-15.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-15.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-16.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-16.pine","copied","ok"
"D:\Work\Coding\Trading\production/PI-03.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-03.pine","copied","ok"
"D:\Work\Coding\Trading\production/PI-04.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-04.pine","copied","ok"
"D:\Work\Coding\Trading\production/PI-05.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-05.pine","copied","ok"
"D:\Work\Coding\Trading\production/PI-17.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-17.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PI-18.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\core_evolution\PI-18.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PICE-01.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-01.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PICE-02.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-02.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PICE-03.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-03.pine","copied","ok"
"D:\Work\Coding\Trading\indicators/other/PICE-04.pine","d:\Work\Coding\Trading\indicators\vsa\pi_family\confluence_engine\PICE-04.pine","copied","ok"
